year,site_name,province,latitude,longitude,river_name,fishing_area,CGNDB,avg_air_temp_arrival,avg_water_temp_shore,avg_water_depth,species_eng,species_fra,species_latin,tsn,specimens_measured,avg_length_mm,length_type
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Rainbow smelt,éperlan arc-en-ciel,Osmerus mordax,162043,122,,fork
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Stickleback (non specific),épinoches (non spécifique),,166363,835,,fork
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Suckers (non specific),catostomes (non spécifique),,163892,858,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Alewife,gaspareau,Alosa pseudoharengus,161706,4,215.55,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,American eel,anguille d'Amérique,Anguilla rostrata,161127,163,305.119,total
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Atlantic salmon,saumon atlantique,Salmo salar,161996,6141,80.994,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,245,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,15,101.6,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Finescale dace,ventre citron,Chrosomus neogaeus,163594,14,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Longnose sucker,meunier rouge,Catostomus catostomus,163894,1,155,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,3,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,892,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,12,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Stickleback (non specific),épinoches (non spécifique),,166363,13,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.583,8.533,,Suckers (non specific),catostomes (non spécifique),,163892,13,34.5,fork
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,American eel,anguille d'Amérique,Anguilla rostrata,161127,537,260.276,total
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,Atlantic salmon,saumon atlantique,Salmo salar,161996,2436,100.095,fork
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,Banded killifish,fondule barré,Fundulus diaphanus,165646,2,,fork
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,53,,fork
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,895,,fork
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,Rainbow smelt,éperlan arc-en-ciel,Osmerus mordax,162043,3467,149.023,fork
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,25,,fork
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,2,,fork
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,Stickleback (non specific),épinoches (non spécifique),,166363,824,,fork
2004,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,8.917,11.106,,Suckers (non specific),catostomes (non spécifique),,163892,414,,fork
2004,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,9.861,10.353,,American eel,anguille d'Amérique,Anguilla rostrata,161127,110,281.636,total
2004,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,9.861,10.353,,Atlantic salmon,saumon atlantique,Salmo salar,161996,1869,114.224,fork
2004,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,9.861,10.353,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,10,,fork
2004,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,9.861,10.353,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,73,fork
2004,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,9.861,10.353,,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,135,,fork
2004,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,9.861,10.353,,Rainbow smelt,éperlan arc-en-ciel,Osmerus mordax,162043,204,138.326,fork
2004,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,9.861,10.353,,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,6,,fork
2004,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,9.861,10.353,,Stickleback (non specific),épinoches (non spécifique),,166363,193,,fork
2004,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,9.861,10.353,,Suckers (non specific),catostomes (non spécifique),,163892,476,,fork
2004,Upsalquitch-RST,New Brunswick,47.8532,-66.9092,Upsalquitch River,SFA15,DAPWI,13.925,11.953,,American eel,anguille d'Amérique,Anguilla rostrata,161127,156,321.923,total
2004,Upsalquitch-RST,New Brunswick,47.8532,-66.9092,Upsalquitch River,SFA15,DAPWI,13.925,11.953,,Atlantic salmon,saumon atlantique,Salmo salar,161996,1219,94.137,fork
