L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'air à l'arrivée,Température moyenne de l'eau sur le rivage,Profondeur moyenne de l'eau (m),Durée totale de fonctionnement (h),Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,13,,fork
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,Gaspereau,gaspareau,Alosa,161701,14,282.000,fork
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,657,,fork
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,9,,fork
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,14,,fork
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,White sucker,meunier noir,Catostomus commersoni,553273,18,218.500,fork
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,7,346.571,total
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,3374,90.959,fork
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,55,,fork
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,24,43.250,fork
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,1,137.000,fork
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,16,,fork
2010,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,12.272,11.541,,3488.0,Gaspereau,gaspareau,Alosa,161701,1,269.000,fork
