site,date,temp
Maisonette,9.01,18.64817139
Maisonette,9.01,18.51947021
Maisonette,9.01,18.64817139
Maisonette,9.01,18.47656982
Maisonette,9.01,18.48729492
Maisonette,9.01,18.41221924
Maisonette,9.01,18.45511963
Maisonette,9.01,18.44439453
Maisonette,9.01,18.54092041
Maisonette,9.01,18.65889648
Maisonette,9.01,18.83049805
Maisonette,9.01,18.94847412
Maisonette,9.01,19.0235498
Maisonette,9.01,19.0235498
Maisonette,9.01,19.0557251
Maisonette,9.01,18.96992432
Maisonette,9.01,18.90557373
Maisonette,9.01,18.90557373
Maisonette,9.01,18.91629883
Maisonette,9.01,18.90557373
Maisonette,9.01,19.32385254
Maisonette,9.01,21.86570068
Maisonette,9.01,22.43413086
Maisonette,9.01,22.29470459
Maisonette,9.01,22.00512695
Maisonette,9.01,21.20074463
Maisonette,9.01,20.66448975
Maisonette,9.01,20.56796387
Maisonette,9.01,20.93261719
Maisonette,9.01,21.29727051
Maisonette,9.01,21.47959717
Maisonette,9.01,21.74772461
Maisonette,9.01,21.94077637
Maisonette,9.01,21.98367676
Maisonette,9.01,21.96222656
Maisonette,9.01,21.96222656
Maisonette,9.01,21.96222656
Maisonette,9.01,21.94077637
Maisonette,9.01,21.89787598
Maisonette,9.01,21.84425049
Maisonette,9.01,21.72627441
Maisonette,9.01,21.66192383
Maisonette,9.01,21.64047363
Maisonette,9.01,21.60829834
Maisonette,9.01,21.56539795
Maisonette,9.01,21.57612305
Maisonette,9.01,21.57612305
Maisonette,9.01,21.54394775
Maisonette,9.01,21.53322266
Maisonette,9.01,21.56539795
Maisonette,9.01,21.54394775
Maisonette,9.01,21.55467285
Maisonette,9.01,21.57612305
Maisonette,9.01,21.58684814
Maisonette,9.01,21.58684814
Maisonette,9.01,21.58684814
Maisonette,9.01,21.60829834
Maisonette,9.01,21.61902344
Maisonette,9.01,21.56539795
Maisonette,9.01,21.56539795
Maisonette,9.01,21.53322266
Maisonette,9.01,21.51177246
Maisonette,9.01,21.46887207
Maisonette,9.01,21.42597168
Maisonette,9.01,21.44742188
Maisonette,9.01,21.41524658
Maisonette,9.01,21.38307129
Maisonette,9.01,21.36162109
Maisonette,9.01,21.350896
Maisonette,9.01,21.3401709
Maisonette,9.01,21.3187207
Maisonette,9.01,21.30799561
Maisonette,9.01,21.3187207
Maisonette,9.01,21.30799561
Maisonette,9.01,21.3187207
Maisonette,9.01,21.3294458
Maisonette,9.01,21.37234619
Maisonette,9.01,21.38307129
Maisonette,9.01,21.39379639
Maisonette,9.01,21.36162109
Maisonette,9.01,21.38307129
Maisonette,9.01,21.3294458
Maisonette,9.01,21.29727051
Maisonette,9.01,21.25437012
Maisonette,9.01,21.23291992
Maisonette,9.01,21.20074463
Maisonette,9.01,21.15784424
Maisonette,9.01,21.14711914
Maisonette,9.01,21.10421875
Maisonette,9.01,21.01841797
Maisonette,9.01,20.8575415
Maisonette,9.01,20.70739014
Maisonette,9.01,20.52506348
Maisonette,9.01,20.36418701
Maisonette,9.01,20.22476074
Maisonette,9.01,20.11750977
Maisonette,9.01,19.9780835
Maisonette,9.01,19.86010742
Maisonette,9.01,19.77430664
Maisonette,9.01,19.62415527
Maisonette,9.01,19.52762939
Maisonette,9.01,19.38820313
Maisonette,9.01,19.24877686
Maisonette,9.01,19.14152588
Maisonette,9.01,19.00209961
Maisonette,9.01,18.86267334
Maisonette,9.01,18.75542236
Maisonette,9.01,18.62672119
Maisonette,9.01,18.53019531
Maisonette,9.01,18.35859375
Maisonette,9.01,18.19771729
Maisonette,9.01,18.09046631
Maisonette,9.01,17.96176514
Maisonette,9.01,17.83306396
Maisonette,9.01,17.72581299
Maisonette,9.01,17.57566162
Maisonette,9.01,17.42551025
Maisonette,9.01,17.25390869
Maisonette,9.01,17.09303223
Maisonette,9.01,16.87853027
Maisonette,9.01,16.65330322
Maisonette,9.01,16.38517578
Maisonette,9.01,16.18139893
Maisonette,9.01,16.00979736
Maisonette,9.01,15.8274707
Maisonette,9.01,15.65586914
Maisonette,9.01,15.58079346
Maisonette,9.01,15.48426758
Shemogue,9.22,14.444
Shemogue,9.22,14.444
Shemogue,9.22,14.455
Shemogue,9.22,14.433
Shemogue,9.22,14.412
Shemogue,9.22,14.38
Shemogue,9.22,14.369
Shemogue,9.22,14.315
Shemogue,9.22,14.315
Shemogue,9.22,14.337
Shemogue,9.22,14.294
Shemogue,9.22,14.24
Shemogue,9.22,14.229
Shemogue,9.22,14.24
Shemogue,9.22,14.251
Shemogue,9.22,14.229
Shemogue,9.22,14.208
Shemogue,9.22,14.176
Shemogue,9.22,14.187
Shemogue,9.22,14.208
Shemogue,9.22,14.24
Shemogue,9.22,14.39
Shemogue,9.22,14.455
Shemogue,9.22,14.508
Shemogue,9.22,14.53
Shemogue,9.22,14.53
Shemogue,9.22,14.54
Shemogue,9.22,14.54
Shemogue,9.22,14.54
Shemogue,9.22,14.54
Shemogue,9.22,14.551
Shemogue,9.22,14.53
Shemogue,9.22,14.519
Shemogue,9.22,14.498
Shemogue,9.22,14.455
Shemogue,9.22,14.422
Shemogue,9.22,14.251
Shemogue,9.22,13.693
Shemogue,9.22,13.564
Shemogue,9.22,13.843
Shemogue,9.22,13.972
Shemogue,9.22,14.058
Shemogue,9.22,13.951
Shemogue,9.22,13.8
Shemogue,9.22,13.876
Shemogue,9.22,13.908
Shemogue,9.22,13.929
Shemogue,9.22,13.833
Shemogue,9.22,13.704
Shemogue,9.22,13.65
Shemogue,9.22,13.564
Shemogue,9.22,13.532
Shemogue,9.22,13.457
Shemogue,9.22,13.393
Shemogue,9.22,13.382
Shemogue,9.22,13.329
Shemogue,9.22,13.275
Shemogue,9.22,13.232
Shemogue,9.22,13.168
Shemogue,9.22,13.157
Shemogue,9.22,13.071
Shemogue,9.22,13.017
Shemogue,9.22,12.964
Shemogue,9.22,12.975
Shemogue,9.22,12.9
Shemogue,9.22,12.878
Shemogue,9.22,12.846
Shemogue,9.22,12.792
Shemogue,9.22,12.771
Shemogue,9.22,12.728
Shemogue,9.22,12.674
Shemogue,9.22,12.642
Shemogue,9.22,12.61
Shemogue,9.22,12.578
Shemogue,9.22,12.556
Shemogue,9.22,12.492
Shemogue,9.22,12.492
Shemogue,9.22,12.471
Shemogue,9.22,12.428
Shemogue,9.22,12.406
Shemogue,9.22,12.353
Shemogue,9.22,12.342
Shemogue,9.22,12.288
Shemogue,9.22,12.277
Shemogue,9.22,12.31
Shemogue,9.22,12.31
Shemogue,9.22,12.299
Shemogue,9.22,12.299
Shemogue,9.22,12.31
Shemogue,9.22,12.299
Shemogue,9.22,12.277
Shemogue,9.22,12.127
Shemogue,9.22,11.859
Shemogue,9.22,11.58
Shemogue,9.22,11.28
Shemogue,9.22,11.141
Shemogue,9.22,11.044
Shemogue,9.22,10.862
Shemogue,9.22,10.765
Shemogue,9.22,10.722
Shemogue,9.22,10.637
Shemogue,9.22,10.626
Shemogue,9.22,10.615
Shemogue,9.22,10.647
Shemogue,9.22,10.765
Shemogue,9.22,10.905
Shemogue,9.22,11.269
Shemogue,9.22,11.527
Shemogue,9.22,11.495
Shemogue,9.22,11.259
Shemogue,9.22,11.141
Shemogue,9.22,11.076
Shemogue,9.22,11.323
Shemogue,9.22,11.999
Shemogue,9.22,12.074
Shemogue,9.22,12.031
Shemogue,9.22,11.913
Shemogue,9.22,11.924
Shemogue,9.22,12.202
Shemogue,9.22,12.642
Shemogue,9.22,13.007
Shemogue,9.22,13.371
Shemogue,9.22,13.779
Shemogue,9.22,14.069
Shemogue,9.22,14.347
Shemogue,9.22,14.573
Shemogue,9.22,14.787
Shemogue,9.22,15.023
Shemogue,9.22,15.302
Shemogue,9.22,15.474
Shemogue,9.22,15.624
Shemogue,9.22,15.752
Shemogue,9.22,15.881
Shemogue,9.22,16.042
Shemogue,9.22,16.256
Shemogue,9.22,16.364
Shemogue,9.22,16.546
Shemogue,9.22,16.664
Shemogue,9.22,16.75
Shemogue,9.22,16.954
Shemogue,9.22,17.125
Shemogue,9.22,17.147
Shemogue,9.22,17.318
Shemogue,9.22,17.576
Shemogue,9.22,17.769
Shemogue,9.22,17.812
Shemogue,9.22,17.822
Shemogue,9.22,17.994
Shemogue,9.22,18.133
Shemogue,9.22,18.294
Shemogue,9.22,18.498
Shemogue,9.22,18.637
Shemogue,9.22,18.691
Shemogue,9.22,18.841
Shemogue,9.22,18.948
Shemogue,9.22,19.056
Shemogue,9.22,19.238
Shemogue,9.22,19.131
Shemogue,9.22,18.991
Shemogue,9.22,18.981
Shemogue,9.22,18.927
Shemogue,9.22,18.83
Shemogue,9.22,18.841
Shemogue,9.22,18.906
Shemogue,9.22,19.066
Shemogue,9.22,19.367
Shemogue,9.22,19.324
Shemogue,9.22,19.292
Shemogue,9.22,19.217
Shemogue,9.22,19.066
Shemogue,9.22,19.034
Shemogue,9.22,19.742
Shemogue,9.22,20.096
Shemogue,9.22,19.731
Shemogue,9.22,19.142
Shemogue,9.22,18.541
Shemogue,9.22,17.919
Shemogue,9.22,17.404
Shemogue,9.22,17.275
Shemogue,9.22,17.265
Shemogue,9.22,17.179
Shemogue,9.22,17.072
Shemogue,9.22,16.943
Shemogue,9.22,16.857
Shemogue,9.22,16.761
Shemogue,9.22,16.664
Shemogue,9.22,16.61
Shemogue,9.22,16.578
Shemogue,9.22,16.589
Shemogue,9.22,16.578
Shemogue,9.22,16.589
Shemogue,9.22,16.589
Shemogue,9.22,16.643
Shemogue,9.22,16.675
