L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'eau sur le rivage,Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
1970,62,New Brunswick,46.502360,-66.335000,Southwest Miramichi River,SFA16,DAIRE,9.500,Minnows (non specific),ménés (non spécifique),,163342,2,,fork
1970,62,New Brunswick,46.502360,-66.335000,Southwest Miramichi River,SFA16,DAIRE,9.500,White sucker,meunier noir,Catostomus commersoni,553273,1,,fork
1970,63,New Brunswick,46.510000,-66.285000,Southwest Miramichi River,SFA16,DAIRE,9.000,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
1970,63,New Brunswick,46.510000,-66.285000,Southwest Miramichi River,SFA16,DAIRE,9.000,Atlantic salmon,saumon atlantique,Salmo salar,161996,66,51.246,fork
1970,63,New Brunswick,46.510000,-66.285000,Southwest Miramichi River,SFA16,DAIRE,9.000,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,,fork
1970,63,New Brunswick,46.510000,-66.285000,Southwest Miramichi River,SFA16,DAIRE,9.000,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,1,,fork
1970,63,New Brunswick,46.510000,-66.285000,Southwest Miramichi River,SFA16,DAIRE,9.000,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,36,,fork
1970,63,New Brunswick,46.510000,-66.285000,Southwest Miramichi River,SFA16,DAIRE,9.000,Minnows (non specific),ménés (non spécifique),,163342,7,,fork
1970,64,New Brunswick,46.617000,-65.880200,Southwest Miramichi River,SFA16,DAIRE,10.500,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
1970,64,New Brunswick,46.617000,-65.880200,Southwest Miramichi River,SFA16,DAIRE,10.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,29,57.600,fork
1970,64,New Brunswick,46.617000,-65.880200,Southwest Miramichi River,SFA16,DAIRE,10.500,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,2,,fork
1970,64,New Brunswick,46.617000,-65.880200,Southwest Miramichi River,SFA16,DAIRE,10.500,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,86,,fork
1970,64,New Brunswick,46.617000,-65.880200,Southwest Miramichi River,SFA16,DAIRE,10.500,vertebrates,,,331030,199,,fork
1970,64,New Brunswick,46.617000,-65.880200,Southwest Miramichi River,SFA16,DAIRE,10.500,White sucker,meunier noir,Catostomus commersoni,553273,19,,fork
1970,65,New Brunswick,46.494000,-67.010000,South Branch Southwest Miramichi River,SFA16,DAIMX,10.250,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
1970,65,New Brunswick,46.494000,-67.010000,South Branch Southwest Miramichi River,SFA16,DAIMX,10.250,Appalachian brook crayfish,,,97343,1,,fork
1970,65,New Brunswick,46.494000,-67.010000,South Branch Southwest Miramichi River,SFA16,DAIMX,10.250,Atlantic salmon,saumon atlantique,Salmo salar,161996,72,78.565,fork
1970,65,New Brunswick,46.494000,-67.010000,South Branch Southwest Miramichi River,SFA16,DAIMX,10.250,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,3,,fork
1970,65,New Brunswick,46.494000,-67.010000,South Branch Southwest Miramichi River,SFA16,DAIMX,10.250,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,25,,fork
1970,65,New Brunswick,46.494000,-67.010000,South Branch Southwest Miramichi River,SFA16,DAIMX,10.250,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,23,,fork
1970,65,New Brunswick,46.494000,-67.010000,South Branch Southwest Miramichi River,SFA16,DAIMX,10.250,Lamprey (non specific),lamproies (non spécifique),,159697,17,,fork
1970,65,New Brunswick,46.494000,-67.010000,South Branch Southwest Miramichi River,SFA16,DAIMX,10.250,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,2,,fork
1970,66,New Brunswick,46.575000,-66.818000,Southwest Miramichi River,SFA16,DAIRE,19.500,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
1970,66,New Brunswick,46.575000,-66.818000,Southwest Miramichi River,SFA16,DAIRE,19.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,92,54.585,fork
1970,66,New Brunswick,46.575000,-66.818000,Southwest Miramichi River,SFA16,DAIRE,19.500,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,26,,fork
1970,66,New Brunswick,46.575000,-66.818000,Southwest Miramichi River,SFA16,DAIRE,19.500,Minnows (non specific),ménés (non spécifique),,163342,2,,fork
1970,67,New Brunswick,46.578000,-66.020000,Southwest Miramichi River,SFA16,DAIRE,11.000,Atlantic salmon,saumon atlantique,Salmo salar,161996,12,48.833,fork
1970,67,New Brunswick,46.578000,-66.020000,Southwest Miramichi River,SFA16,DAIRE,11.000,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,243,,fork
1970,67,New Brunswick,46.578000,-66.020000,Southwest Miramichi River,SFA16,DAIRE,11.000,Lamprey (non specific),lamproies (non spécifique),,159697,4,,fork
1970,67,New Brunswick,46.578000,-66.020000,Southwest Miramichi River,SFA16,DAIRE,11.000,vertebrates,,,331030,282,,fork
1970,67,New Brunswick,46.578000,-66.020000,Southwest Miramichi River,SFA16,DAIRE,11.000,White sucker,meunier noir,Catostomus commersoni,553273,36,,fork
1970,68,New Brunswick,46.438000,-66.190000,Southwest Miramichi River,SFA16,DAIRE,11.000,Atlantic salmon,saumon atlantique,Salmo salar,161996,104,46.088,fork
1970,68,New Brunswick,46.438000,-66.190000,Southwest Miramichi River,SFA16,DAIRE,11.000,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,11,,fork
1970,68,New Brunswick,46.438000,-66.190000,Southwest Miramichi River,SFA16,DAIRE,11.000,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,395,,fork
1970,68,New Brunswick,46.438000,-66.190000,Southwest Miramichi River,SFA16,DAIRE,11.000,Lamprey (non specific),lamproies (non spécifique),,159697,1,,fork
1970,68,New Brunswick,46.438000,-66.190000,Southwest Miramichi River,SFA16,DAIRE,11.000,vertebrates,,,331030,214,,fork
1970,68,New Brunswick,46.438000,-66.190000,Southwest Miramichi River,SFA16,DAIRE,11.000,White sucker,meunier noir,Catostomus commersoni,553273,12,,fork
1970,69,New Brunswick,46.511090,-67.112810,Southwest Miramichi River,SFA16,DAIRE,6.500,Appalachian brook crayfish,,,97343,11,,fork
1970,69,New Brunswick,46.511090,-67.112810,Southwest Miramichi River,SFA16,DAIRE,6.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,15,51.333,fork
1970,69,New Brunswick,46.511090,-67.112810,Southwest Miramichi River,SFA16,DAIRE,6.500,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,3,,fork
1970,69,New Brunswick,46.511090,-67.112810,Southwest Miramichi River,SFA16,DAIRE,6.500,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,31,,fork
1970,69,New Brunswick,46.511090,-67.112810,Southwest Miramichi River,SFA16,DAIRE,6.500,Lamprey (non specific),lamproies (non spécifique),,159697,2,,fork
1970,69,New Brunswick,46.511090,-67.112810,Southwest Miramichi River,SFA16,DAIRE,6.500,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,1,,fork
1970,69,New Brunswick,46.511090,-67.112810,Southwest Miramichi River,SFA16,DAIRE,6.500,vertebrates,,,331030,4,,fork
1970,69,New Brunswick,46.511090,-67.112810,Southwest Miramichi River,SFA16,DAIRE,6.500,White sucker,meunier noir,Catostomus commersoni,553273,1,,fork
1970,7,New Brunswick,47.141000,-65.370000,Bartibog River,SFA16,DBADW,14.400,Atlantic salmon,saumon atlantique,Salmo salar,161996,59,78.678,fork
1970,7,New Brunswick,47.141000,-65.370000,Bartibog River,SFA16,DBADW,14.400,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,,fork
1970,7,New Brunswick,47.141000,-65.370000,Bartibog River,SFA16,DBADW,14.400,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,1,,fork
1970,7,New Brunswick,47.141000,-65.370000,Bartibog River,SFA16,DBADW,14.400,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,,fork
1970,7,New Brunswick,47.141000,-65.370000,Bartibog River,SFA16,DBADW,14.400,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,26,,fork
1970,7,New Brunswick,47.141000,-65.370000,Bartibog River,SFA16,DBADW,14.400,Lamprey (non specific),lamproies (non spécifique),,159697,13,,fork
1970,7,New Brunswick,47.141000,-65.370000,Bartibog River,SFA16,DBADW,14.400,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,2,,fork
1970,70,New Brunswick,46.463000,-66.410000,Southwest Miramichi River,SFA16,DAIRE,7.000,Atlantic salmon,saumon atlantique,Salmo salar,161996,340,63.652,fork
1970,70,New Brunswick,46.463000,-66.410000,Southwest Miramichi River,SFA16,DAIRE,7.000,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,13,,fork
1970,70,New Brunswick,46.463000,-66.410000,Southwest Miramichi River,SFA16,DAIRE,7.000,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,415,,fork
1970,70,New Brunswick,46.463000,-66.410000,Southwest Miramichi River,SFA16,DAIRE,7.000,vertebrates,,,331030,88,,fork
1970,70,New Brunswick,46.463000,-66.410000,Southwest Miramichi River,SFA16,DAIRE,7.000,White sucker,meunier noir,Catostomus commersoni,553273,25,,fork
1970,71,New Brunswick,46.558000,-66.117000,Southwest Miramichi River,SFA16,DAIRE,8.750,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
1970,71,New Brunswick,46.558000,-66.117000,Southwest Miramichi River,SFA16,DAIRE,8.750,Atlantic salmon,saumon atlantique,Salmo salar,161996,94,57.765,fork
1970,71,New Brunswick,46.558000,-66.117000,Southwest Miramichi River,SFA16,DAIRE,8.750,brook stickleback,épinoche à cinq épines,Culaea inconstans,166399,1,,fork
1970,71,New Brunswick,46.558000,-66.117000,Southwest Miramichi River,SFA16,DAIRE,8.750,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,129,,fork
1970,71,New Brunswick,46.558000,-66.117000,Southwest Miramichi River,SFA16,DAIRE,8.750,vertebrates,,,331030,91,,fork
1970,71,New Brunswick,46.558000,-66.117000,Southwest Miramichi River,SFA16,DAIRE,8.750,White sucker,meunier noir,Catostomus commersoni,553273,15,,fork
1970,72,New Brunswick,46.698000,-65.786000,Morse Brook,SFA16,DAYBQ,7.200,Atlantic salmon,saumon atlantique,Salmo salar,161996,25,114.400,fork
1970,72,New Brunswick,46.698000,-65.786000,Morse Brook,SFA16,DAYBQ,7.200,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,22,,fork
1970,72,New Brunswick,46.698000,-65.786000,Morse Brook,SFA16,DAYBQ,7.200,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,54,,fork
1970,73,New Brunswick,46.668000,-65.849000,Morse Brook,SFA16,DAYBQ,16.700,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,83,,fork
1970,73,New Brunswick,46.668000,-65.849000,Morse Brook,SFA16,DAYBQ,16.700,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,1,,fork
1970,73,New Brunswick,46.668000,-65.849000,Morse Brook,SFA16,DAYBQ,16.700,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,70,,fork
1970,79,New Brunswick,46.560570,-66.197030,Big Hole Brook,SFA16,DAQJI,7.500,Appalachian brook crayfish,,,97343,1,,fork
1970,79,New Brunswick,46.560570,-66.197030,Big Hole Brook,SFA16,DAQJI,7.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,102,64.373,fork
