sampleID,Year,eventDate,recordedBy,decimalLatitude,decimalLongitude,occurrenceStatus,color
r20:2829,2020,2020-09-21,DFO Gulf,46.56064,-66.1221,Not detected,green
r20:2834,2020,2020-09-21,DFO Gulf,46.73431,-65.82416,Not detected,green
r21:2839,2021,2021-06-22,DFO Gulf,46.55011,-67.04399,Not detected,green
r21:2832,2021,2021-06-22,DFO Gulf,46.60005,-66.98332,Not detected,green
r21:2848,2021,2021-06-22,DFO Gulf,46.50753,-66.94977,Suspected,orange
r21:2827,2021,2021-06-22,DFO Gulf,46.58815,-66.97387,Not detected,green
r21:2849,2021,2021-06-22,DFO Gulf,46.50753,-66.94977,Inconclusive,grey
r21:2847,2021,2021-06-22,DFO Gulf,46.50753,-66.94977,Suspected,orange
r21:2831,2021,2021-06-22,DFO Gulf,46.60005,-66.98332,Not detected,green
r21:2844,2021,2021-06-22,DFO Gulf,46.57771,-67.04132,Not detected,green
r21:2840,2021,2021-06-22,DFO Gulf,46.55011,-67.04399,Not detected,green
r21:2841,2021,2021-06-22,DFO Gulf,46.55011,-67.04399,Not detected,green
r21:2835,2021,2021-06-22,DFO Gulf,46.5957,-66.97599,Not detected,green
r21:2833,2021,2021-06-22,DFO Gulf,46.60005,-66.98332,Not detected,green
r21:2845,2021,2021-06-22,DFO Gulf,46.57771,-67.04132,Not detected,green
r21:2828,2021,2021-06-22,DFO Gulf,46.58815,-66.97387,Not detected,green
r21:2836,2021,2021-06-22,DFO Gulf,46.5957,-66.97599,Not detected,green
r21:2843,2021,2021-06-22,DFO Gulf,46.57771,-67.04132,Not detected,green
r21:2837,2021,2021-06-22,DFO Gulf,46.5957,-66.97599,Not detected,green
r21:2829,2021,2021-06-22,DFO Gulf,46.58815,-66.97387,Not detected,green
r21:2928,2021,2021-07-07,DFO Gulf,46.55547,-66.84771,Inconclusive,grey
r21:2924,2021,2021-07-07,DFO Gulf,46.56257,-66.832,Inconclusive,grey
r21:2936,2021,2021-07-07,DFO Gulf,46.50753,-66.94977,Suspected,orange
r21:2929,2021,2021-07-07,DFO Gulf,46.55547,-66.84771,Inconclusive,grey
r21:2938,2021,2021-07-07,DFO Gulf,46.50753,-66.94977,Suspected,orange
r21:2937,2021,2021-07-07,DFO Gulf,46.50753,-66.94977,Suspected,orange
