Sample_ID__Numéro_échantillon,Year__Année,Month__Mois,Day__Jour,Port_landed__Port_de_débarquement,Port_code,Port_latitude,Port_longitude,Fishing_area__Zone_de_pêche,Mesh_size_mm__Maillage_mm,21.0 cm ,21.5 cm ,22.0 cm ,22.5 cm ,23.0 cm ,23.5 cm ,24.0 cm ,24.5 cm ,25.0 cm ,25.5 cm ,26.0 cm ,26.5 cm ,27.0 cm ,27.5 cm ,28.0 cm ,28.5 cm ,29.0 cm ,29.5 cm ,30.0 cm ,30.5 cm ,31.0 cm ,31.5 cm ,32.0 cm ,32.5 cm ,33.0 cm ,33.5 cm ,34.0 cm ,34.5 cm ,35.0 cm ,35.5 cm ,36.0 cm ,36.5 cm ,37.0 cm ,37.5 cm ,38.0 cm ,38.5 cm ,39.0 cm ,39.5 cm ,40.0 cm ,40.5 cm ,41.0 cm ,41.5 cm ,42.0 cm ,42.5 cm ,43.0 cm ,43.5 cm ,44.0 cm ,44.5 cm ,45.0 cm ,45.5 cm ,46.0 cm ,46.5 cm ,47.0 cm ,47.5 cm ,48.0 cm 
40874,1999,9,23,TONEY RIVER,11113,45.7716,-62.8906,4TH,51,0,0,0,0,0,0,0,0,1,0,5,4,15,14,7,7,8,8,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40875,1999,9,23,TONEY RIVER,11113,45.7716,-62.8906,4TH,57,0,0,0,0,0,0,0,0,0,0,1,1,5,9,13,12,6,5,9,8,7,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41363,1999,9,23,LISMORE,11202,45.70600111,-62.27030041,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,6,4,8,4,6,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41364,1999,9,23,LISMORE,11202,45.70600111,-62.27030041,4TH,51,0,0,0,0,0,0,1,2,3,4,4,8,9,14,9,13,12,5,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41365,1999,9,23,LISMORE,11202,45.70600111,-62.27030041,4TH,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,16,22,33,14,14,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41366,1999,9,23,LISMORE,11202,45.70600111,-62.27030041,4TH,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,20,20,10,7,4,6,8,6,4,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41369,1999,9,28,LISMORE,11202,45.70600111,-62.27030041,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41370,1999,9,28,LISMORE,11202,45.70600111,-62.27030041,4TH,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,4,3,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41371,1999,9,28,LISMORE,11202,45.70600111,-62.27030041,4TH,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,10,6,3,2,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41372,1999,9,28,LISMORE,11202,45.70600111,-62.27030041,4TH,57,0,0,0,0,0,0,0,0,0,0,2,3,8,13,26,11,20,12,7,8,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41373,1999,9,28,LISMORE,11202,45.70600111,-62.27030041,4TH,51,0,0,0,0,0,0,0,1,0,2,5,7,5,13,15,3,10,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41374,1999,9,29,TONEY RIVER,11113,45.7716,-62.8906,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,4,6,8,3,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41375,1999,9,29,TONEY RIVER,11113,45.7716,-62.8906,4TH,57,0,0,0,0,0,0,0,0,0,0,1,3,5,10,12,9,13,8,6,7,5,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41376,1999,9,29,LISMORE,11202,45.70600111,-62.27030041,4TH,64,0,0,0,0,0,0,0,0,0,2,3,2,1,3,10,14,11,10,12,9,7,4,6,2,7,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41377,1999,9,29,LISMORE,11202,45.70600111,-62.27030041,4TH,66,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,3,4,7,13,7,8,8,9,5,5,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41378,1999,9,29,LISMORE,11202,45.70600111,-62.27030041,4TH,57,0,0,0,0,0,0,0,0,0,0,0,6,4,9,14,9,16,8,14,7,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
