river_rivière,age_âge,year_année,latitude_latitude,longitude_longitude,n_n,mean fork length_longueur moyenne à la fourche
Miramichi River,2,1991,46.93316907,-65.65078752,204,737.3823529
Rocky River,1,1991,47.225684,-53.564593,29,563.5172414
Saint John River,1,1991,45.95542,-66.607509,541,580.4621072
Saint John River,2,1991,45.95542,-66.607509,518,777.7413127
Terra Nova River,1,1991,48.66762,-54.002506,27,510.7407407
Torrent River,1,1991,50.612932,-57.168795,38,521.7105263
Western Arm Brook,1,1991,51.190752,-56.753424,223,532.2376682
Conne River,1,1992,47.868005,-55.705978,286,512.993007
Exploits River,1,1992,49.088976,-55.354689,18,540.1666667
Gander River,1,1992,49.260019,-54.499243,168,543.2083333
Harry's River,1,1992,48.507227,-58.506807,45,507.2222222
LaHave River,1,1992,44.53333,-64.71667,956,542.2866109
LaHave River,2,1992,44.53333,-64.71667,141,712.9503546
Middle Brook,1,1992,48.794529,-54.291912,67,535.8358209
Miramichi River,1,1992,46.93316907,-65.65078752,520,568.2807692
Miramichi River,2,1992,46.93316907,-65.65078752,505,751.4079208
Northeast River,1,1992,47.270081,-53.837846,10,535.3
Rocky River,1,1992,47.225684,-53.564593,20,559.7
Saint John River,1,1992,45.95542,-66.607509,309,582.2330097
Saint John River,2,1992,45.95542,-66.607509,367,778.9918256
Terra Nova River,1,1992,48.66762,-54.002506,88,528.4659091
Torrent River,1,1992,50.612932,-57.168795,17,534.2941176
Western Arm Brook,1,1992,51.190752,-56.753424,409,536.7628362
Conne River,1,1993,47.868005,-55.705978,292,505.0787671
Gander River,1,1993,49.260019,-54.499243,134,548.5447761
Harry's River,1,1993,48.507227,-58.506807,43,498.6511628
LaHave River,1,1993,44.53333,-64.71667,303,537.8580858
LaHave River,2,1993,44.53333,-64.71667,86,706.7325581
Middle Brook,1,1993,48.794529,-54.291912,126,537.9761905
Miramichi River,1,1993,46.93316907,-65.65078752,278,560.3633094
Miramichi River,2,1993,46.93316907,-65.65078752,355,744.3126761
Nashwaak River,1,1993,46.117667,-66.589062,24,577.9583333
Nashwaak River,2,1993,46.117667,-66.589062,30,760.1
Northeast River,1,1993,47.270081,-53.837846,20,538.25
Rocky River,1,1993,47.225684,-53.564593,28,555
Saint John River,1,1993,45.95542,-66.607509,253,586.3636364
Saint John River,2,1993,45.95542,-66.607509,432,783.7962963
Terra Nova River,1,1993,48.66762,-54.002506,140,532.4285714
Torrent River,1,1993,50.612932,-57.168795,225,526.2711111
Western Arm Brook,1,1993,51.190752,-56.753424,252,543.6111111
Conne River,1,1994,47.868005,-55.705978,73,509.9726027
Exploits River,1,1994,49.088976,-55.354689,387,544.3023256
Gander River,1,1994,49.260019,-54.499243,166,537.3554217
Harry's River,1,1994,48.507227,-58.506807,41,514
LaHave River,1,1994,44.53333,-64.71667,139,560.0143885
LaHave River,2,1994,44.53333,-64.71667,74,712.4189189
Middle Brook,1,1994,48.794529,-54.291912,62,530.1774194
Miramichi River,1,1994,46.93316907,-65.65078752,1236,559.5841424
Miramichi River,2,1994,46.93316907,-65.65078752,959,760.919708
Nashwaak River,1,1994,46.117667,-66.589062,113,591.1238938
