River_name__nom_de_la_rivière,Site_name__nom_du_site,Latitude__latitude,Longitude__longitude,Arrival_date__date_d_arrivée,Departure_date__date_de_départ,Time_released__date_de_libération,Operating_condition_display__affichage_état_de_fonctionnement,Rpm_arrival__rpm_arrivée,Rpm_departure__rpm_départ,Air_temp_arrival__temp_air_arrivée,Water_temp_trap_c__temp_eau_piège_c,Relative_water_level_m__niveau_d_eau_relatif_m,Species__espèces,Status__statut,Life_stage__stade_de_vie,Adipose_condition_display,Total_length__longueur_totale,Fork_length__longueur_à_la_fourche,Weight__poid,Sex__sexe,Age__âge,Age_type__âge_type,Tag_number__numéro_d_étiquette,Sample_id__numéro_d_identification_de_l_échantillon,Specimen_id__numéro_d_identification_du_spécimen
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",smolt,Present,,144.0,,,,,,4114,654747
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",smolt,Present,,123.0,,,,,,4114,654748
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",smolt,Present,,110.0,,,,,,4114,654749
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",smolt,Absent,,140.0,,,,,,4114,654750
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",smolt,Present,,133.0,,,,,,4114,654751
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",smolt,Present,,116.0,,,,,,4114,654752
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",parr,Present,,85.0,,,,,,4114,654753
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",parr,Present,,84.0,,,,,,4114,654754
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",parr,Present,,74.0,,,,,,4114,654755
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-07 11:37:00+00:00,2022-05-07 12:10:00+00:00,,fully operational,10.0,10.0,4.0,5.0,,Atlantic salmon,"Released, sampled",parr,Present,,76.0,,,,,,4114,654756
